,ISO3,year,sink_1,source_1,imports,exports,source_+_imports,sink_+_exports,ISO3_y,delta
0,AUS,2008,7492279.999999998,129895466.29635575,9392942.29965856,212984492.95890543,139288408.59601432,220476772.95890543,AUS_2008,-81188364.36289111
1,AUS,2009,5036239.999999999,137481437.37051964,6920180.256414226,226958402.6211213,144401617.62693387,231994642.6211213,AUS_2009,-87593024.99418741
2,AUS,2010,7131440.000000001,161170848.73146552,8037230.973412362,262855677.26117408,169208079.70487788,269987117.2611741,AUS_2010,-100779037.5562962
3,AUS,2011,6341860.0,152109045.86124808,8089176.372313285,270457723.77738667,160198222.23356137,276799583.77738667,AUS_2011,-116601361.5438253
4,AUS,2012,4746695.0,184601748.90790224,6092889.751441112,309249139.09930235,190694638.65934336,313995834.09930235,AUS_2012,-123301195.43995899
5,AUS,2013,4589021.5,225560945.84351245,5614557.759503321,377766138.4465471,231175503.60301578,382355159.9465471,AUS_2013,-151179656.3435313
6,AUS,2014,4444685.499999999,254374888.52996427,5360107.062557767,457253284.71891135,259734995.59252203,461697970.21891135,AUS_2014,-201962974.62638932
7,AUS,2015,4787095.499999999,277895766.9681902,5316145.299706626,450175173.89425117,283211912.26789683,454962269.39425117,AUS_2015,-171750357.12635434
8,AUS,2016,5101229.999999999,296436921.25651336,5450135.686412439,449350430.67495644,301887056.9429258,454451660.67495644,AUS_2016,-152564603.73203063
9,AUT,2008,6988501.273715919,2725511.212301747,7625443.056325101,2833348.8028290654,10350954.268626848,9821850.076544985,AUT_2008,529104.1920818631
10,AUT,2009,5113236.794031004,2102174.331286259,6013390.999422137,2061744.5825462854,8115565.330708396,7174981.37657729,AUT_2009,940583.9541311059
11,AUT,2010,6415500.1693875,2485849.9968328937,6525157.536366911,2249453.480654232,9011007.533199804,8664953.650041733,AUT_2010,346053.88315807097
12,AUT,2011,6732440.627023286,2656055.574742308,7398106.345268823,2474374.9311927836,10054161.920011131,9206815.558216069,AUT_2011,847346.3617950622
13,AUT,2012,6571686.338350376,2602226.214970882,7322811.995371312,2367534.4113066783,9925038.210342195,8939220.749657054,AUT_2012,985817.4606851414
14,AUT,2013,6890792.345573541,2621598.472741546,7288201.696127749,2297104.551756584,9909800.168869294,9187896.897330124,AUT_2013,721903.2715391703
15,AUT,2014,6868480.786290756,2666576.079480512,7431996.275081651,2269768.97064594,10098572.354562163,9138249.756936695,AUT_2014,960322.5976254679
16,AUT,2015,6693724.045575136,2607582.3330831514,7379747.070162711,2167310.613295427,9987329.403245863,8861034.658870563,AUT_2015,1126294.7443752997
17,AUT,2016,6560534.431470118,2591719.8926915303,7501595.322563881,2280043.875368585,10093315.215255411,8840578.306838702,AUT_2016,1252736.908416709
18,BEL,2008,9711605.484989312,3679132.8493224615,13006667.963503983,6317372.652867842,16685800.812826443,16028978.137857154,BEL_2008,656822.6749692895
19,BEL,2009,5616255.756175881,2442847.2710538427,8573325.928115623,4451662.512375839,11016173.199169466,10067918.26855172,BEL_2009,948254.930617746
20,BEL,2010,7595288.703816716,3129006.414150775,9403429.46438717,4966094.356758713,12532435.878537944,12561383.06057543,BEL_2010,-28947.182037485763
21,BEL,2011,7688106.474961329,3358089.704206073,10388441.712121816,5678091.499870772,13746531.41632789,13366197.9748321,BEL_2011,380333.4414957892
22,BEL,2012,7159720.046294285,3142464.348062792,9801127.010264948,5484361.432854358,12943591.358327739,12644081.479148643,BEL_2012,299509.87917909585
23,BEL,2013,7033390.762084451,2911851.7153158626,9390912.409852844,5279259.585728247,12302764.125168707,12312650.347812697,BEL_2013,-9886.22264399007
24,BEL,2014,7241136.601621197,2987784.0334378565,9516486.694967182,5261350.91217404,12504270.72840504,12502487.513795238,BEL_2014,1783.2146098017693
25,BEL,2015,7069675.117760167,2942254.071125593,9215238.553210277,4974031.595354279,12157492.62433587,12043706.713114446,BEL_2015,113785.91122142412
26,BEL,2016,7300411.911210087,2971702.324912196,9784171.354118656,5346968.712058826,12755873.679030852,12647380.623268913,BEL_2016,108493.05576193891
27,BRA,2008,32704519.999999996,150495433.4461426,44265432.37529062,243800830.93892547,194760865.82143325,276505350.93892545,BRA_2008,-81744485.1174922
28,BRA,2009,25710820.0,137605970.69619894,34842591.594223246,224205449.39899388,172448562.2904222,249916269.39899388,BRA_2009,-77467707.10857168
29,BRA,2010,31959560.0,152403890.19535533,38844372.88918508,245602533.88488376,191248263.0845404,277562093.88488376,BRA_2010,-86313830.80034336
30,BRA,2011,34163400.0,171658009.5396287,43803485.25619558,303788946.52421063,215461494.7958243,337952346.52421063,BRA_2011,-122490851.72838634
31,BRA,2012,33488279.999999996,157863178.3657853,38768655.67973248,272907293.7245355,196631834.04551777,306395573.7245355,BRA_2012,-109763739.67901775
32,BRA,2013,33138109.999999996,126994003.43502805,36392520.86611207,214735605.77672875,163386524.30114013,247873715.77672875,BRA_2013,-84487191.47558862
33,BRA,2014,32880090.0,151884300.5262472,37617093.505708605,227119987.2366147,189501394.0319558,260000077.2366147,BRA_2014,-70498683.2046589
34,BRA,2015,32260259.999999996,159102621.95113465,36830285.72567558,224577070.21303827,195932907.67681023,256837330.21303827,BRA_2015,-60904422.53622803
35,BRA,2016,30692740.0,156470421.67961326,36615113.08185343,222389839.47569433,193085534.76146668,253082579.47569433,BRA_2016,-59997044.71422765
45,CAN,2008,14007421.834357768,19361057.27353249,14635528.094733097,21437923.071554616,33996585.368265584,35445344.905912384,CAN_2008,-1448759.5376468003
46,CAN,2009,8810945.34629787,16735306.716151075,11025279.392144375,19481635.250909686,27760586.108295448,28292580.597207554,CAN_2009,-531994.4889121056
47,CAN,2010,12265121.520449271,19857024.31183797,13137864.476867571,21825315.251382675,32994888.788705543,34090436.771831945,CAN_2010,-1095547.983126402
48,CAN,2011,12325917.937085802,18605935.42042853,13996215.41179301,20506058.717722517,32602150.832221538,32831976.65480832,CAN_2011,-229825.82258678228
49,CAN,2012,12864346.591825243,21326306.566125683,14029227.735189408,21589115.638960507,35355534.30131509,34453462.23078575,CAN_2012,902072.0705293417
50,CAN,2013,11942378.03337503,21823812.935956243,12876824.978245148,22109063.948255897,34700637.91420139,34051441.98163093,CAN_2013,649195.9325704649
51,CAN,2014,12219066.984738236,21495657.113535423,12986256.38431523,21704256.81364719,34481913.49785066,33923323.79838543,CAN_2014,558589.6994652301
52,CAN,2015,11766788.652731448,21967227.74924726,12637207.084245224,20852726.961234327,34604434.83349249,32619515.613965776,CAN_2015,1984919.2195267119
53,CAN,2016,11831311.607364334,23165923.89611005,12992171.024058007,20818570.746143956,36158094.92016806,32649882.35350829,CAN_2016,3508212.566659767
54,CHN,2008,486846190.540826,364388703.8636738,667544629.9352323,429955565.7725707,1031933333.7989061,916801756.3133967,CHN_2008,115131577.4855094
55,CHN,2009,555096464.4757928,383116540.4751089,723967656.5314158,434062476.62780136,1107084197.0065248,989158941.1035941,CHN_2009,117925255.90293074
