exporter,importer,year,tonnes,exp_ISO3,imp_ISO3
Australia,Australia,2008,1329810.5819756617,AUS,AUS
Australia,Australia,2009,1051749.8978691895,AUS,AUS
Australia,Australia,2010,1326240.1675884216,AUS,AUS
Australia,Australia,2011,1267341.9097461163,AUS,AUS
Australia,Australia,2012,1024882.4016255011,AUS,AUS
Australia,Australia,2013,1110098.5460114507,AUS,AUS
Australia,Australia,2014,1232501.1297784068,AUS,AUS
Australia,Australia,2015,1233899.298943543,AUS,AUS
Australia,Australia,2016,1236185.5246081622,AUS,AUS
Australia,Austria,2008,1132385.0902295422,AUS,AUT
Australia,Austria,2009,1017322.5718309274,AUS,AUT
Australia,Austria,2010,1169622.8268826136,AUS,AUT
Australia,Austria,2011,1287096.04032492,AUS,AUT
Australia,Austria,2012,1464850.5167642692,AUS,AUT
Australia,Austria,2013,1708385.336620798,AUS,AUT
Australia,Austria,2014,2053617.6360806858,AUS,AUT
Australia,Austria,2015,2054554.601806076,AUS,AUT
Australia,Austria,2016,2057011.5575069445,AUS,AUT
Australia,Belgium,2008,1412603.564464858,AUS,BEL
Australia,Belgium,2009,893081.4647982485,AUS,BEL
Australia,Belgium,2010,1018015.0016704738,AUS,BEL
Australia,Belgium,2011,1055140.3955510836,AUS,BEL
Australia,Belgium,2012,1134372.387360565,AUS,BEL
Australia,Belgium,2013,1261278.288798986,AUS,BEL
Australia,Belgium,2014,1524732.843420831,AUS,BEL
Australia,Belgium,2015,1516567.9199742472,AUS,BEL
Australia,Belgium,2016,1568957.9910412747,AUS,BEL
Australia,Brazil,2008,7013023.407774139,AUS,BRA
Australia,Brazil,2009,6080616.351561682,AUS,BRA
Australia,Brazil,2010,7251175.518823198,AUS,BRA
Australia,Brazil,2011,7669942.0073286295,AUS,BRA
Australia,Brazil,2012,7544878.236393485,AUS,BRA
Australia,Brazil,2013,8117089.262453839,AUS,BRA
Australia,Brazil,2014,9966782.713606749,AUS,BRA
Australia,Brazil,2015,9996989.620522723,AUS,BRA
Australia,Brazil,2016,9796134.593347888,AUS,BRA
Australia,Canada,2008,1927836.293821843,AUS,CAN
Australia,Canada,2009,1460403.1202677905,AUS,CAN
Australia,Canada,2010,1901649.9054496805,AUS,CAN
Australia,Canada,2011,1912867.7926643551,AUS,CAN
Australia,Canada,2012,2205878.148792578,AUS,CAN
Australia,Canada,2013,2290808.668687652,AUS,CAN
