exporter,importer,year,tonnes,exp_ISO3,imp_ISO3
Australia,Australia,2008,1340888.2244756618,AUS,AUS
Australia,Australia,2009,1060436.0247691895,AUS,AUS
Australia,Australia,2010,1335238.0718884214,AUS,AUS
Australia,Australia,2011,1274265.1780461164,AUS,AUS
Australia,Australia,2012,1029660.9223255011,AUS,AUS
Australia,Australia,2013,1114071.8212114507,AUS,AUS
Australia,Australia,2014,1236007.0783784068,AUS,AUS
Australia,Australia,2015,1237472.439443543,AUS,AUS
Australia,Australia,2016,1239632.0219081622,AUS,AUS
Australia,Austria,2008,1140290.4253295423,AUS,AUT
Australia,Austria,2009,1022506.9987309275,AUS,AUT
Australia,Austria,2010,1174772.3434826136,AUS,AUT
Australia,Austria,2011,1291063.18512492,AUS,AUT
Australia,Austria,2012,1467929.1997642692,AUS,AUT
Australia,Austria,2013,1711105.856820798,AUS,AUT
Australia,Austria,2014,2056071.532380686,AUS,AUT
Australia,Austria,2015,2057052.962906076,AUS,AUT
Australia,Austria,2016,2059426.6926069446,AUS,AUT
Australia,Belgium,2008,1427181.956364858,AUS,BEL
Australia,Belgium,2009,902970.0909982484,AUS,BEL
Australia,Belgium,2010,1027505.2294704738,AUS,BEL
Australia,Belgium,2011,1062068.9600510837,AUS,BEL
Australia,Belgium,2012,1140040.0100605648,AUS,BEL
Australia,Belgium,2013,1266296.6613989861,AUS,BEL
Australia,Belgium,2014,1529211.197620831,AUS,BEL
Australia,Belgium,2015,1521173.2471742472,AUS,BEL
Australia,Belgium,2016,1573364.4391412747,AUS,BEL
Australia,Brazil,2008,7056881.084774138,AUS,BRA
Australia,Brazil,2009,6109769.507561683,AUS,BRA
Australia,Brazil,2010,7280693.491823198,AUS,BRA
Australia,Brazil,2011,7697003.3971286295,AUS,BRA
Australia,Brazil,2012,7565809.264993485,AUS,BRA
Australia,Brazil,2013,8135755.622353839,AUS,BRA
Australia,Brazil,2014,9983990.60090675,AUS,BRA
Australia,Brazil,2015,10013736.767522722,AUS,BRA
Australia,Brazil,2016,9812140.495447889,AUS,BRA
Australia,Canada,2008,1947726.570621843,AUS,CAN
Australia,Canada,2009,1477574.3706677905,AUS,CAN
Australia,Canada,2010,1919174.1194496807,AUS,CAN
Australia,Canada,2011,1927894.1887643551,AUS,CAN
Australia,Canada,2012,2218013.5956925782,AUS,CAN
Australia,Canada,2013,2301543.6780876517,AUS,CAN
Australia,Canada,2014,2776260.022077381,AUS,CAN
Australia,Canada,2015,2677543.4566093506,AUS,CAN
Australia,Canada,2016,2691466.245410307,AUS,CAN
Australia,China,2008,100570660.45712139,AUS,CHN
Australia,China,2009,121726234.70423798,AUS,CHN
Australia,China,2010,139696131.58680362,AUS,CHN
Australia,China,2011,143104251.26580098,AUS,CHN
Australia,China,2012,165498349.25366336,AUS,CHN
Australia,China,2013,212885146.5937124,AUS,CHN
Australia,China,2014,257687581.4220951,AUS,CHN
Australia,China,2015,251643369.343865,AUS,CHN
Australia,China,2016,251584959.51413175,AUS,CHN
Australia,Czech Republic,2008,931910.5439738388,AUS,CZE
Australia,Czech Republic,2009,824541.5639456083,AUS,CZE
Australia,Czech Republic,2010,915671.426868508,AUS,CZE
Australia,Czech Republic,2011,909100.6960425093,AUS,CZE
Australia,Czech Republic,2012,1033457.6591840219,AUS,CZE
Australia,Czech Republic,2013,1190263.2001726553,AUS,CZE
Australia,Czech Republic,2014,1406634.9166942714,AUS,CZE
Australia,Czech Republic,2015,1408255.7133492695,AUS,CZE
Australia,Czech Republic,2016,1409520.5654224055,AUS,CZE
Australia,Finland,2008,602502.1749382259,AUS,FIN
Australia,Finland,2009,498397.54461002775,AUS,FIN
Australia,Finland,2010,598609.4769356855,AUS,FIN
Australia,Finland,2011,594424.6965153073,AUS,FIN
Australia,Finland,2012,590541.1176660459,AUS,FIN
Australia,Finland,2013,659209.519188968,AUS,FIN
Australia,Finland,2014,811510.1579645025,AUS,FIN
Australia,Finland,2015,846910.7540862041,AUS,FIN
Australia,Finland,2016,863188.9402950866,AUS,FIN
Australia,France,2008,2397031.82907004,AUS,FRA
Australia,France,2009,1943403.3562103724,AUS,FRA
Australia,France,2010,2267955.063108216,AUS,FRA
Australia,France,2011,2334660.5236013886,AUS,FRA
Australia,France,2012,2610295.4292980274,AUS,FRA
Australia,France,2013,2907249.0886259302,AUS,FRA
Australia,France,2014,3685924.902310512,AUS,FRA
Australia,France,2015,3669952.5818771143,AUS,FRA
Australia,France,2016,3622288.6666466077,AUS,FRA
Australia,Germany,2008,6333528.523371176,AUS,DEU
Australia,Germany,2009,5032547.95439057,AUS,DEU
Australia,Germany,2010,6449011.346118481,AUS,DEU
Australia,Germany,2011,6738618.468003901,AUS,DEU
Australia,Germany,2012,7531581.128985372,AUS,DEU
Australia,Germany,2013,8380445.00134695,AUS,DEU
Australia,Germany,2014,10260421.696018739,AUS,DEU
Australia,Germany,2015,10241412.490023987,AUS,DEU
Australia,Germany,2016,10265543.667145243,AUS,DEU
Australia,Greece,2008,15580.283057380642,AUS,GRC
Australia,Greece,2009,13662.344557318322,AUS,GRC
Australia,Greece,2010,15843.95122920972,AUS,GRC
Australia,Greece,2011,16431.132684659246,AUS,GRC
Australia,Greece,2012,14282.627001127275,AUS,GRC
Australia,Greece,2013,14194.437800125028,AUS,GRC
Australia,Greece,2014,15254.886983980297,AUS,GRC
Australia,Greece,2015,14619.772955680335,AUS,GRC
Australia,Greece,2016,15512.468378041229,AUS,GRC
Australia,India,2008,12692297.300754812,AUS,IND
Australia,India,2009,13509316.731773794,AUS,IND
Australia,India,2010,14896357.243805114,AUS,IND
Australia,India,2011,13925950.289421953,AUS,IND
Australia,India,2012,15811307.746072983,AUS,IND
Australia,India,2013,19620431.31283371,AUS,IND
Australia,India,2014,22818154.460391637,AUS,IND
