exporter,importer,tonnes,year,exp_ISO3,imp_ISO3
Australia,Australia,88468.15,2008,AUS,AUS
Austria,Australia,65255.87,2008,AUT,AUS
Belgium,Australia,141383.23,2008,BEL,AUS
Brazil,Australia,194965.75,2008,BRA,AUS
Canada,Australia,156231.59,2008,CAN,AUS
China,Australia,5625048.42,2008,CHN,AUS
Czech Republic,Australia,68320.04,2008,CZE,AUS
Finland,Australia,35277.11,2008,FIN,AUS
France,Australia,206530.04,2008,FRA,AUS
Germany,Australia,487416.49,2008,DEU,AUS
Greece,Australia,53245.24,2008,GRC,AUS
India,Australia,423633.7,2008,IND,AUS
Indonesia,Australia,84962.09,2008,IDN,AUS
Italy,Australia,344733.43,2008,ITA,AUS
Japan,Australia,1164351.97,2008,JPN,AUS
Mexico,Australia,177030.28,2008,MEX,AUS
Netherlands,Australia,105711.64,2008,NLD,AUS
Poland,Australia,118493.89,2008,POL,AUS
RoW Africa,Australia,221730.29,2008,RoW Africa,AUS
RoW America,Australia,234205.23,2008,RoW America,AUS
RoW Asia and Pacific,Australia,397203.6,2008,RoW Asia and Pacific,AUS
RoW EU27,Australia,202389.16,2008,RoW EU27,AUS
RoW Europe,Australia,295221.43,2008,RoW Europe,AUS
RoW Middle East,Australia,559880.76,2008,RoW Middle East,AUS
Russia,Australia,337729.73,2008,RUS,AUS
Slovakia,Australia,48566.97,2008,SVK,AUS
South Korea,Australia,612061.56,2008,KOR,AUS
Spain,Australia,216316.98,2008,ESP,AUS
Sweden,Australia,65226.55,2008,SWE,AUS
Taiwan,Australia,150482.12,2008,TWN,AUS
United Kingdom,Australia,133969.07,2008,GBR,AUS
United States,Australia,913383.71,2008,USA,AUS
Australia,Austria,62512.47,2008,AUS,AUT
Austria,Austria,46110.44,2008,AUT,AUT
Belgium,Austria,99902.78,2008,BEL,AUT
Brazil,Austria,137764.71,2008,BRA,AUT
Canada,Austria,110394.78,2008,CAN,AUT
China,Austria,3974714.51,2008,CHN,AUT
Czech Republic,Austria,48275.61,2008,CZE,AUT
Finland,Austria,24927.15,2008,FIN,AUT
France,Austria,145936.16,2008,FRA,AUT
Germany,Austria,344413.28,2008,DEU,AUT
Greece,Austria,37623.61,2008,GRC,AUT
India,Austria,299343.74,2008,IND,AUT
Indonesia,Austria,60035.05,2008,IDN,AUT
Italy,Austria,243592.03,2008,ITA,AUT
Japan,Austria,822742.54,2008,JPN,AUT
Mexico,Austria,125091.34,2008,MEX,AUT
Netherlands,Austria,74696.89,2008,NLD,AUT
Poland,Austria,83728.95,2008,POL,AUT
RoW Africa,Austria,156676.8,2008,RoW Africa,AUT
RoW America,Austria,165491.72,2008,RoW America,AUT
RoW Asia and Pacific,Austria,280667.97,2008,RoW Asia and Pacific,AUT
RoW EU27,Austria,143010.17,2008,RoW EU27,AUT
RoW Europe,Austria,208606.36,2008,RoW Europe,AUT
RoW Middle East,Austria,395617.25,2008,RoW Middle East,AUT
Russia,Austria,238643.14,2008,RUS,AUT
Slovakia,Austria,34317.9,2008,SVK,AUT
South Korea,Austria,432488.71,2008,KOR,AUT
Spain,Austria,152851.7,2008,ESP,AUT
Sweden,Austria,46089.72,2008,SWE,AUT
Taiwan,Austria,106332.14,2008,TWN,AUT
United Kingdom,Austria,94663.86,2008,GBR,AUT
United States,Austria,645405.91,2008,USA,AUT
Australia,Belgium,134680.6,2008,AUS,BEL
Austria,Belgium,99343.09,2008,AUT,BEL
Belgium,Belgium,215236.52,2008,BEL,BEL
Brazil,Belgium,296808.53,2008,BRA,BEL
Canada,Belgium,237841.11,2008,CAN,BEL
China,Belgium,8563362.58,2008,CHN,BEL
Czech Republic,Belgium,104007.87,2008,CZE,BEL
Finland,Belgium,53704.55,2008,FIN,BEL
France,Belgium,314413.58,2008,FRA,BEL
Germany,Belgium,742024.57,2008,DEU,BEL
Greece,Belgium,81058.56,2008,GRC,BEL
India,Belgium,644924.05,2008,IND,BEL
Indonesia,Belgium,129343.1,2008,IDN,BEL
Italy,Belgium,524809.24,2008,ITA,BEL
Japan,Belgium,1772565.73,2008,JPN,BEL
Mexico,Belgium,269504.26,2008,MEX,BEL
Netherlands,Belgium,160931.44,2008,NLD,BEL
Poland,Belgium,180390.65,2008,POL,BEL
RoW Africa,Belgium,337553.87,2008,RoW Africa,BEL
RoW America,Belgium,356545.25,2008,RoW America,BEL
RoW Asia and Pacific,Belgium,604687.86,2008,RoW Asia and Pacific,BEL
RoW EU27,Belgium,308109.67,2008,RoW EU27,BEL
RoW Europe,Belgium,449434.02,2008,RoW Europe,BEL
RoW Middle East,Belgium,852341.45,2008,RoW Middle East,BEL
Russia,Belgium,514147.06,2008,RUS,BEL
Slovakia,Belgium,73936.54,2008,SVK,BEL
South Korea,Belgium,931779.55,2008,KOR,BEL
Spain,Belgium,329312.84,2008,ESP,BEL
Sweden,Belgium,99298.45,2008,SWE,BEL
Taiwan,Belgium,229088.33,2008,TWN,BEL
United Kingdom,Belgium,203949.48,2008,GBR,BEL
United States,Belgium,1390501.08,2008,USA,BEL
Australia,Brazil,196568.0,2008,AUS,BRA
Austria,Brazil,144992.47,2008,AUT,BRA
Belgium,Brazil,314140.38,2008,BEL,BRA
Brazil,Brazil,433195.74,2008,BRA,BRA
Canada,Brazil,347132.06,2008,CAN,BRA
China,Brazil,12498333.89,2008,CHN,BRA
