exporter,importer,tonnes,year,yearly_share,total_source_1,exp_ISO3,imp_ISO3
Australia,Australia,53101.0807093268,2008,4.104438471203238e-05,1293747758.2350001,AUS,AUS
Austria,Australia,39168.41506946102,2008,3.0275155895069275e-05,1293747758.2350001,AUT,AUS
Belgium,Australia,84862.20529281234,2008,6.559408876471091e-05,1293747758.2350001,BEL,AUS
Brazil,Australia,117023.94620328824,2008,9.045344848592323e-05,1293747758.2350001,BRA,AUS
Canada,Australia,93774.61007081595,2008,7.24829159887769e-05,1293747758.2350001,CAN,AUS
China,Australia,3376312.8328589583,2008,0.0026097149242330707,1293747758.2350001,CHN,AUS
Czech Republic,Australia,41007.61639193806,2008,3.169676324531982e-05,1293747758.2350001,CZE,AUS
Finland,Australia,21174.317144665056,2008,1.636665030712957e-05,1293747758.2350001,FIN,AUS
France,Australia,123965.15947197378,2008,9.581864678250239e-05,1293747758.2350001,FRA,AUS
Germany,Australia,292561.13499091804,2008,0.000226134602459173,1293747758.2350001,DEU,AUS
Greece,Australia,31959.295934497062,2008,2.4702880241584065e-05,1293747758.2350001,GRC,AUS
India,Australia,254276.90411623553,2008,0.00019654287514525527,1293747758.2350001,IND,AUS
Indonesia,Australia,50996.64453617589,2008,3.941776456157747e-05,1293747758.2350001,IDN,AUS
Italy,Australia,206918.73504343728,2008,0.0001599374636410786,1293747758.2350001,ITA,AUS
Japan,Australia,698876.9170942727,2008,0.0005401956545592148,1293747758.2350001,JPN,AUS
Mexico,Australia,106258.57086730901,2008,8.213237100582314e-05,1293747758.2350001,MEX,AUS
Netherlands,Australia,63451.11011765592,2008,4.904442130529317e-05,1293747758.2350001,NLD,AUS
Poland,Australia,71123.37735616822,2008,5.4974686451398016e-05,1293747758.2350001,POL,AUS
RoW Africa,Australia,133088.77856033432,2008,0.00010287073172741273,1293747758.2350001,RoW Africa,AUS
RoW America,Australia,140576.58966279333,2008,0.0001086584218353162,1293747758.2350001,RoW America,AUS
RoW Asia and Pacific,Australia,238412.81208700716,2008,0.00018428075377866754,1293747758.2350001,RoW Asia and Pacific,AUS
RoW EU27,Australia,121479.68641655621,2008,9.389750486005502e-05,1293747758.2350001,RoW EU27,AUS
RoW Europe,Australia,177200.23513041556,2008,0.0001369666026491606,1293747758.2350001,RoW Europe,AUS
RoW Middle East,Australia,336056.2352028299,2008,0.00025975406184378303,1293747758.2350001,RoW Middle East,AUS
Russia,Australia,202714.9166187962,2008,0.00015668812975981556,1293747758.2350001,RUS,AUS
Slovakia,Australia,29151.266232847123,2008,2.253241874027812e-05,1293747758.2350001,SVK,AUS
South Korea,Australia,367376.62420471635,2008,0.00028396310012232306,1293747758.2350001,KOR,AUS
Spain,Australia,129839.55710363372,2008,0.00010035925185352034,1293747758.2350001,ESP,AUS
Sweden,Australia,39150.81637788222,2008,3.0261553018104438e-05,1293747758.2350001,SWE,AUS
Taiwan,Australia,90323.61589374936,2008,6.981547625402162e-05,1293747758.2350001,TWN,AUS
United Kingdom,Australia,80412.0171906325,2008,6.215432388484666e-05,1293747758.2350001,GBR,AUS
United States,Australia,548238.6836764909,2008,0.0004237601033020745,1293747758.2350001,USA,AUS
Australia,Austria,37521.74895495578,2008,2.9002368287111048e-05,1293747758.2350001,AUS,AUT
Austria,Austria,27676.787589460968,2008,2.1392723128053278e-05,1293747758.2350001,AUT,AUT
Belgium,Austria,59964.4683862624,2008,4.6349427857613555e-05,1293747758.2350001,BEL,AUT
Brazil,Austria,82690.26745339426,2008,6.391529332286902e-05,1293747758.2350001,BRA,AUT
Canada,Austria,66262.06293076523,2008,5.1217142220337816e-05,1293747758.2350001,CAN,AUT
China,Austria,2385735.8381750085,2008,0.0018440502199824152,1293747758.2350001,CHN,AUT
Czech Republic,Austria,28976.383736994438,2008,2.239724363002999e-05,1293747758.2350001,CZE,AUT
Finland,Austria,14961.979017346875,2008,1.156483473854193e-05,1293747758.2350001,FIN,AUT
France,Austria,87595.00238864757,2008,6.770639935882814e-05,1293747758.2350001,FRA,AUT
Germany,Austria,206726.57197696544,2008,0.00015978893154488855,1293747758.2350001,DEU,AUT
Greece,Austria,22582.752676372635,2008,1.7455298015110173e-05,1293747758.2350001,GRC,AUT
India,Austria,179674.56194768107,2008,0.00013887912910690004,1293747758.2350001,IND,AUT
Indonesia,Austria,36034.73154393384,2008,2.7852980857021425e-05,1293747758.2350001,IDN,AUT
Italy,Austria,146210.81197220422,2008,0.00011301338382349959,1293747758.2350001,ITA,AUT
Japan,Austria,493833.29502805864,2008,0.0003817075561172546,1293747758.2350001,JPN,AUT
Mexico,Austria,75083.35306410094,2008,5.8035542543883256e-05,1293747758.2350001,MEX,AUT
Netherlands,Austria,44835.18175327173,2008,3.4655272998840425e-05,1293747758.2350001,NLD,AUT
Poland,Austria,50256.47910188231,2008,3.884565502199972e-05,1293747758.2350001,POL,AUT
RoW Africa,Austria,94041.83767919929,2008,7.268946908746431e-05,1293747758.2350001,RoW Africa,AUT
RoW America,Austria,99332.80147087187,2008,7.677911002248768e-05,1293747758.2350001,RoW America,AUT
RoW Asia and Pacific,Austria,168464.83765618378,2008,0.0001302145929017976,1293747758.2350001,RoW Asia and Pacific,AUT
RoW EU27,Austria,85838.7406024038,2008,6.634889997375501e-05,1293747758.2350001,RoW EU27,AUT
RoW Europe,Austria,125211.42534164988,2008,9.678194574224422e-05,1293747758.2350001,RoW Europe,AUT
