,ISO3,estimated_imports,estimated_exports
0,ABW,51.74579894653038,0.0
1,AFG,86867.63641007163,793.3995642418014
2,AGO,26719.907589516508,7095.44680306362
3,AIA,0.0,0.0
4,ALB,85101.34939799117,73426.46356718741
5,AND,613.9046634098879,0.0
6,ARE,126835.98141359234,120067.1349487268
7,ARG,1064693.0533950934,3316943.7585324864
8,ARM,14784.449805420754,32.74488369905011
9,ASM,0.0,0.0
10,ATG,18.5740415985766,0.0
11,AUS,59573309.35273067,2232221.0224747816
12,AUT,1514194.2027723952,4405718.303422355
13,AZE,27173.904875510685,271.87149311510706
14,BDI,1709.6663822719127,0.0
15,BEL,2395803.8406993174,8343759.847169549
16,BEN,10436.617321059683,0.0
17,BFA,6598.716246178741,0.0
18,BGD,118118.52149620025,30776.683873151636
19,BGR,801534.7020517947,1563816.5343330982
20,BHR,5867.989929211608,0.0
21,BHS,40511.17766338262,0.0
22,BIH,157859.7067526466,148527.47970038065
23,BLM,0.0,0.0
24,BLR,874283.8169929958,1266089.1326972272
25,BLZ,2119.4878189255787,0.0
26,BMU,0.0,0.0
27,BOL,321446.39522406785,0.0
28,BRA,57381069.229065634,2875757.940909387
29,BRB,0.0,0.0
30,BRN,13995.685687588126,4430.705125128532
31,BTN,58453.30605837191,0.0
32,BVT,681956.0699348763,266776.3987375265
33,BWA,28168.501182612126,0.0
34,CAF,1956.3348830379741,0.0
35,CAN,17373093.94385862,9923162.9664089
36,CCK,0.0,0.0
37,CHE,795782.9719846328,656151.1707395795
38,CHL,3329677.5747712613,952490.521412256
39,CHN,47151957.387261964,60273065.30073193
40,CIV,78297.68842495972,0.0
41,CMR,23776.526360101303,0.0
42,COD,36334.136150331105,20285.72938487844
43,COG,10512.149801200774,858.591624323853
44,COK,0.0,0.0
45,COL,462335.99934499565,505911.2342284511
46,COM,1154.4498236036877,0.0
47,CPV,962.339414258064,0.0
48,CRI,38875.84839861303,0.0
49,CUB,138383.84527526188,257133.18051583448
50,CUW,30.653089669145817,0.0
51,CXR,0.0,0.0
52,CYM,0.0,0.0
53,CYP,64557.4437695417,0.0
54,CZE,1770817.8185881486,4041337.3057818003
55,DEU,10068310.974673072,29978703.074098434
56,DJI,2079.4380597776517,0.0
57,DMA,63.664955970602726,0.0
58,DNK,379982.87883902347,629675.3934779442
59,DOM,35806.747107080446,28196.332047011867
60,DZA,839783.3509184602,656493.1215986955
61,ECU,70284.26450580196,45901.09779639685
62,EGY,2134363.9600961558,2074653.5513292847
63,ERI,494.7714393509911,0.0
64,ESH,230.2633539867666,0.0
65,ESP,8071115.144271634,10956357.123469196
66,EST,24199.834052629114,27643.296255693374
67,ETH,22093.594264629184,0.0
68,FIN,1115972.620597808,3169101.238176517
69,FJI,7475.651084292861,0.0
70,FLK,0.0,0.0
71,FRA,7582379.914282282,15164599.149980074
72,FRO,0.0,0.0
73,FSM,0.0,0.0
74,GAB,13925.38928178953,0.0
75,GBR,4851835.933225514,10655608.711237218
76,GEO,39887.50967928288,36740.23930066097
77,GGY,0.0,0.0
78,GHA,36928.671234793605,39341.797540178864
79,GIB,233.98093768824018,275.05755752396595
80,GIN,39526.617968186634,0.0
81,GLP,14628.411878131148,0.0
82,GMB,1514.9857114583747,0.0
83,GNB,1530.7628577545265,0.0
84,GNQ,1171.9159274403398,0.0
85,GRC,980632.2429121695,934413.0414868427
86,GRD,0.0,0.0
87,GRL,0.0,0.0
88,GTM,77376.4215740539,131089.6182043065
89,GUF,199.12156070450388,0.0
90,GUM,0.0,0.0
91,GUY,12810.835707217195,0.0
92,HKG,22152.612876519484,24939.06192588179
93,HMD,0.0,0.0
94,HND,19613.568227877793,0.0
95,HRV,109667.00888521427,24446.56337527184
96,HTI,7324.74475209226,0.0
97,HUN,884681.7216309612,1711122.2975816112
98,IDN,1022268.2552731779,2227260.6456458853
99,IMN,414.81668467580073,0.0
100,IND,26948402.566873405,11867693.295274707
101,IOT,0.0,0.0
102,IRL,165666.75364230218,282795.4991079351
103,IRN,4451779.334972066,4758993.276749001
104,IRQ,235388.90224936078,38547.7293836446
105,ISL,31389.021550231228,0.0
106,ISR,143691.00100571054,178554.8239246752
107,ITA,14136770.888704926,17373012.527612165
108,JAM,26264.654392783905,0.0
109,JEY,0.0,0.0
110,JOR,52960.03020265395,32625.165838997633
111,JPN,7485981.690228018,68211241.17833076
112,KAZ,6563809.109116912,3306404.54805802
113,KEN,49856.118443982166,15612.841164836313
114,KGZ,30219.96277614867,24836.37778314208
115,KHM,13930.150524184159,9128.957803285211
116,KIR,0.0,0.0
117,KNA,0.0,0.0
118,KOR,5635938.397598981,30473909.816398114
119,KWT,116136.07236076823,21771.16585877533
120,LAO,8884.33561891155,0.0
121,LBN,48209.39601132831,6337.057977544737
122,LBR,241938.0865412024,0.0
123,LBY,316852.11908708914,828426.3620631141
124,LCA,622.4477614257368,0.0
125,LIE,1264.4443357852565,0.0
126,LKA,48698.04550113145,23596.010231206787
127,LSO,7606.180717510986,0.0
128,LTU,111011.7368448505,102345.95115741555
129,LUX,384641.4689741283,1913489.4002760162
130,LVA,181174.14795918824,290503.39876093453
131,MAC,819.4990952131993,239.55597181171422
132,MAF,0.0,0.0
133,MAR,141272.476460009,3923.832714238722
134,MCO,33.80181327011096,0.0
135,MDA,555672.5887796477,261455.02786354147
136,MDG,11959.48866426767,0.0
137,MDV,889.8523641393907,0.0
138,MEX,5630248.333079435,10485285.018747497
139,MHL,0.0,0.0
140,MKD,123443.59915868263,71271.02858947331
141,MLI,185148.68593237823,0.0
142,MLT,15934.135982362335,0.0
